Note author: ONLY [N]T has 1 allocs, it's okey, SEE performance recommendations in func's description or in utils/README.md

goos: darwin
goarch: arm64
pkg: github.com/lif0/pkg/utils/reflect
cpu: Apple M2
BenchmarkEstimatePayloadOf/int-8         	                405672769	         2.987 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int-8        	                504622111	         2.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int-8       	                469020006	         2.628 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int-8      	                504262947	         2.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int-8      	                26100123	         41.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int-8     	                32003840	         37.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int-8    	                53156539	         19.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int-8   	                100000000	         10.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int-8   	                31982161	         38.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int-8  	                31982694	         40.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int{nil}-8  	                485611402	         2.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int{nil}-8 	                501437626	         2.424 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int{nil}-8 	                438011954	         2.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int{nil}-8         	        435994824	         2.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int{nil}-8        	        63325930	         20.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int{nil}-8       	        330599079	         3.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int{nil}-8       	         4516170	         269.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int{nil}-8      	        300302648	         4.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/int8-8                 	        441982303	         2.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int8-8                	        485580616	         2.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int8-8               	        405191572	         2.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int8-8              	        451783485	         2.670 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int8-8              	        31042410	         39.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int8-8             	        31704513	         38.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int8-8            	        120898252	         9.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int8-8           	        100000000	         10.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int8-8           	        30579447	         38.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int8-8          	        32445805	         37.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int8{nil}-8          	        451636546	         2.717 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int8{nil}-8         	        446227287	         2.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int8{nil}-8         	        405809329	         2.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int8{nil}-8        	        476931105	         2.539 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int8{nil}-8       	        126029922	         9.483 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int8{nil}-8      	        336143634	         3.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int8{nil}-8      	         4655901	         259.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int8{nil}-8     	        369135975	         3.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/int16-8                	        499507516	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int16-8               	        499621380	         2.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int16-8              	        470676908	         2.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int16-8             	        488720732	         2.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int16-8             	        31530302	         38.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int16-8            	        32117299	         38.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int16-8           	        100000000	         10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int16-8          	        100000000	         10.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int16-8          	        29917383	         38.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int16-8         	        32357659	         37.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int16{nil}-8         	        498948223	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int16{nil}-8        	        498373364	         2.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int16{nil}-8        	        440742748	         2.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int16{nil}-8       	        478334438	         2.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int16{nil}-8      	        126548432	         9.515 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int16{nil}-8     	        338393530	         3.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int16{nil}-8     	         4653450	         259.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int16{nil}-8    	        327631520	         3.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/int32-8                	        482584076	         2.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int32-8               	        491280788	         2.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int32-8              	        418005104	         2.704 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int32-8             	        477373412	         2.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int32-8             	        30380002	         44.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int32-8            	        30672950	         39.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int32-8           	        97452691	         12.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int32-8          	        100000000	         10.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int32-8          	        30841588	         38.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int32-8         	        31666863	         38.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int32{nil}-8         	        484565005	         2.483 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int32{nil}-8        	        495542440	         2.377 ns/op	       0 B/op	       0 allocs/op
